"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,92,111,94,71,62,70,500
"2",0,0,359,351,289,206,204,218,1627
"3",0,51,303,246,182,200,218,208,1357
"4",0,93,270,188,171,157,171,172,1129
"5",0,95,175,129,150,133,114,143,844
"6",0,129,139,88,90,114,112,120,663
"7",16,142,93,74,76,98,103,81,525
"8",36,107,73,79,48,79,84,61,424
"9",52,89,55,46,29,58,73,27,288
"10",57,60,51,30,35,48,53,4,221
"11",48,40,18,31,23,59,48,0,179
"12",33,33,25,16,41,44,21,0,147
"13",35,25,18,17,19,25,19,0,98
"14",31,27,15,11,35,28,3,0,92
"15",18,26,8,10,27,18,0,0,63
"16",11,12,13,14,30,16,0,0,73
"17",18,18,6,19,20,10,0,0,55
"18",8,7,7,13,11,5,0,0,36
"19",10,10,5,17,15,0,0,0,37
"20",7,11,6,10,8,0,0,0,24
"21",6,1,5,7,5,0,0,0,17
"22",5,6,4,8,0,0,0,0,12
"23",7,1,5,3,0,0,0,0,8
"24",6,3,5,6,0,0,0,0,11
"25",2,2,1,3,0,0,0,0,4
"26",1,4,4,0,0,0,0,0,4
"27",7,3,1,0,0,0,0,0,1
"28",2,1,2,0,0,0,0,0,2
"29",5,4,0,0,0,0,0,0,0
"30",1,5,0,0,0,0,0,0,0
"31",2,1,0,0,0,0,0,0,0
"32",2,1,0,0,0,0,0,0,0
"33",1,0,0,0,0,0,0,0,0
"34",3,0,0,0,0,0,0,0,0
"35",1,0,0,0,0,0,0,0,0
