"PropertyID","AskingRate","QuarterOff","BldgClass","ST","Quarters","ListAge","Floor","AvgSqft","Latitude","Longitude","LeaseTermTypeID","LeaseTermLow","LeaseTermHigh","SubmarketName"
"12243",52809,43,"2009Q2","1_ClassA","2_Between",3,9,3,3434,42.3575879,-71.0557508,1,5,5,"Financial District"
"12244",52809,43,"2009Q2","1_ClassA","2_Between",3,9,3,3434,42.3575879,-71.0557508,1,5,5,"Financial District"
"12245",52809,43,"2009Q2","1_ClassA","2_Between",3,9,3,3434,42.3575879,-71.0557508,1,5,5,"Financial District"
"14447",222258,59,"2009Q2","1_ClassA","2_Between",4,23,10,8655,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"14448",222258,59,"2009Q2","1_ClassA","2_Between",4,23,10,8655,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"14449",222258,59,"2009Q2","1_ClassA","2_Between",4,23,10,8655,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"14450",222258,59,"2009Q2","1_ClassA","2_Between",5,23,9,5693,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"14451",222258,59,"2009Q2","1_ClassA","2_Between",5,23,9,5693,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"14452",222258,59,"2009Q2","1_ClassA","2_Between",5,23,9,5693,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"14453",222352,60,"2009Q2","1_ClassA","2_Between",6,8,27,2883,42.3538426,-71.0573648,5,NA,NA,"Financial District"
"14454",222352,60,"2009Q2","1_ClassA","2_Between",6,8,27,2883,42.3538426,-71.0573648,5,NA,NA,"Financial District"
"14455",222352,60,"2009Q2","1_ClassA","2_Between",6,8,27,2883,42.3538426,-71.0573648,5,NA,NA,"Financial District"
"15847",222258,59,"2009Q2","1_ClassA","2_Between",4,23,10,4883,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"15848",222258,59,"2009Q2","1_ClassA","2_Between",4,23,10,4883,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"15849",222258,59,"2009Q2","1_ClassA","2_Between",4,23,10,4883,42.3597171,-71.0529944,5,NA,NA,"Financial District"
"15856",222277,32,"2009Q2","1_ClassA","3_FullService",8,1,8,3630,42.351881,-71.057404,1,3,3,"Financial District"
"15857",222277,32,"2009Q2","1_ClassA","3_FullService",8,1,8,3630,42.351881,-71.057404,1,3,3,"Financial District"
"15858",222277,32,"2009Q2","1_ClassA","3_FullService",8,1,8,3630,42.351881,-71.057404,1,3,3,"Financial District"
